15.70, 10.35, 21.58, 7.16, 1.02, 0.90, 1.58, 4.05, 0.08
15.10, 9.89, 16.67, 5.54, 1.12, 1.83, 1.66, 3.96, 0.08
16.86, 10.04, 21.06, 7.27, 1.13, 0.89, 1.45, 3.94, 0.08
16.12, 9.44, 17.41, 6.75, 0.93, 0.92, 1.45, 3.96, 0.08
14.52, 10.02, 22.42, 5.38, 1.66, 0.91, 1.41, 4.09, 0.08
15.78, 9.28, 18.47, 5.44, 0.95, 0.94, 1.63, 3.94, 0.08
15.14, 9.74, 22.59, 5.53, 1.69, 0.91, 1.48, 4.00, 0.08
16.99, 9.30, 18.11, 5.46, 0.96, 0.95, 1.49, 4.94, 0.08
14.83, 10.22, 21.73, 6.17, 0.98, 0.90, 1.41, 4.83, 0.08
17.35, 10.03, 17.49, 5.55, 0.95, 0.98, 1.79, 4.60, 0.08
15.46, 9.84, 21.59, 6.32, 1.16, 0.88, 2.08, 3.92, 0.08
15.65, 11.85, 17.83, 6.86, 0.96, 0.87, 1.56, 4.16, 0.08
15.26, 10.30, 21.90, 6.28, 1.08, 0.94, 1.54, 4.02, 0.08
14.86, 9.80, 17.09, 6.15, 0.97, 0.88, 1.40, 3.95, 0.08
15.46, 9.81, 21.87, 5.61, 0.99, 0.83, 2.19, 4.00, 0.08
15.66, 9.40, 18.12, 5.41, 0.91, 1.01, 1.46, 3.93, 0.08
15.73, 9.36, 21.64, 5.52, 0.91, 0.92, 2.15, 4.75, 0.09
14.78, 9.71, 18.12, 5.81, 0.92, 0.90, 1.44, 4.14, 0.08
15.88, 9.29, 22.67, 5.53, 0.99, 1.76, 1.47, 4.58, 0.08
15.48, 10.24, 17.26, 5.53, 0.92, 0.90, 1.44, 3.86, 0.08
15.44, 9.49, 21.40, 6.51, 0.91, 0.96, 3.16, 4.72, 0.08
15.77, 10.60, 17.16, 5.48, 0.87, 1.15, 1.48, 4.30, 0.08
15.07, 10.73, 21.14, 5.48, 1.07, 2.34, 1.46, 4.05, 0.08
16.14, 10.74, 17.49, 5.60, 1.02, 0.95, 2.14, 5.01, 0.08
15.12, 10.46, 21.61, 7.37, 0.93, 0.88, 1.43, 4.15, 0.08
16.80, 9.56, 17.11, 5.45, 0.91, 0.87, 1.48, 5.25, 0.08
15.66, 9.38, 22.49, 6.47, 1.04, 0.89, 1.43, 4.01, 0.08
16.82, 9.24, 16.81, 5.82, 1.90, 0.93, 1.53, 4.17, 0.09
15.85, 9.35, 22.00, 5.45, 1.84, 0.91, 1.44, 3.88, 0.08
16.20, 10.34, 16.71, 5.61, 0.89, 0.91, 1.40, 4.66, 0.08
17.99, 10.13, 21.61, 6.24, 1.10, 0.96, 1.51, 4.67, 0.20
16.95, 10.06, 16.86, 5.85, 0.94, 0.88, 1.43, 4.17, 0.08
16.09, 10.25, 21.82, 5.42, 1.88, 1.38, 1.91, 4.01, 0.09
18.23, 10.43, 17.41, 5.48, 0.93, 0.95, 1.46, 4.02, 0.07
15.17, 10.05, 21.60, 6.63, 0.97, 0.90, 1.49, 5.21, 0.09
15.60, 9.34, 17.70, 5.56, 0.93, 0.89, 1.52, 4.34, 0.24
15.57, 9.49, 22.50, 5.45, 0.89, 1.68, 1.94, 4.07, 0.08
